,dominant_pitch_Hz,noise_level_RMS,duration_seconds
count,4000.0,4000.0,4000.0
mean,931.9897068367557,0.0756123960018158,5.0
std,753.4674326190278,0.08068488538265228,0.0
min,0.0,0.005522287450730801,5.0
25%,298.19181368176015,0.019334865733981133,5.0
50%,672.6350965621182,0.0479167215526104,5.0
75%,1430.5052068847729,0.1007328238338232,5.0
max,3954.032226971712,0.6859772205352783,5.0
